offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
349 | 3SO,40659,CellTmp,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
3SO | 351,40661,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
352 | 353,40662,CellV,,,uint16,,,c,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
355 | 357,40665,CellV,,,bitfield32,,,c,,I Cell Status | Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
362,40671,CellTmp,,,bitfield32,,,,,cell Of the ce1117 | Cell Temperature,,Cell Temperature,Cell temperature
362 | 363,40673,CellSt,,,bitfield32,,,,,cell Of the ce1117,,Cell Status,Status of the cell
,40674,CejlV,,,uint16,,,,,-Cell Voltage,,,
,40675,CellTmp,,,int16,,,c,,Sell Temperature,,Cell Temperature,Cell temperature
,40676,censt,,,bitfield32,,,,,Cell Status,,,Status of the ce1118
368,40678,CellV,,,uint16,,,v,,ICell Voltage,,Cell Voltage,Cell terminal voltage
369,40679,Cell Imp,,,,,,c,,.Cell Temperature,,,Cell temperature19
375,40685,,,,,,,,,,,Cell Vottaee,Cell terminal voltage2i
376 | 377,40686,CellV,,,bitfield32,,CellV_Sf,c,,,,Cell Voltage,Cell terminal voltage
378 | 379,40690,CellV,,,uint16,,cellV_SF,,,,,Cell Voltage,Cell terminal voltage
381,40691,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
390 | 382,40692,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
383,40693,,,,,,,,,,,Cell Voltage,Cell terminal nitage23
384,40694,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
393 | 385,40695,CellTmp,,,int16,,Tmp_Sf,c,,,,Cell Temperature,Cell temperature
386,40696,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
387,40697,,,,,,,,,,,Cell Vottage,Cell term.naj oltage24
396/ | 388,40698,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
397 | 389 | 390,40699,CellTmp,,,bitfield32,,Tmp_SF,,,,,Cell Temperature,Cell temperature
39. | 390 | 391,40701,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
392,40702,Ceuv,,,uint16,,CellV_SF,,c,,,Cell Temperatve,Cell temperature25
393,40703,CellTmp,,,int16,,Tmp_SF,,c,,,Cell Temperature,Cell temperature
402 | 394,40704,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
396,40706,Ceuv,,,uint16,,CellV_SF | Tmp_SF,,c,,,Cell temperature,Cell temperature26
398,40708,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
407/ | 399,40709,,,,,,cellV_SF,,,,,'Cell Voltage,Cell terminal voitaee27
400 | 401,40710,CellV,,,uint16,,cellV_SF | rmp_SF,,c,,,Cell Voltage,Cell terminal voltage
401 | 402,40712,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
a 12 | 4-04,40714,CellV,,,uint16,,CellV_SF | Tmp_Sf,,v,,,Cell Voltage,Cell terminal voltage
405,40715,,,,,,Tmp_Sf,,,,,Cell Status,Status of the ce1128
406,40716,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
coa,40718,CellV,,,uint16,,CellV | Tmp_Sf,,c,,,Cell Voltage,Cell terminal voltage
,40720,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,40722,CellV,,,uint16,,CellV_SF,,v,,,Cell Voltage,Cell terminal voltage
,40723,Cell Tmp,,,,,Tmo_SF,,,,,Cell Status,Status of the cell 30
422,40724,LCeilSt,,,bitfje1060,,,,,,,Cell Status,
,40725,,,,uint16,,CellV_SF,,,,,Ceu Voltage,Cell terminal vojtace31
416,40726,CellV,,,uint16,,CellV SF,v,,,,Cell Voltage,Cell terminal voltage
417,40727,CellTmp,,,int16,,CellV SF | Tmp_SF,v | c,,Cell Voltage,,Cell Temperature,Cell temperature
ars,40728,CellSt,,,bitfield32,,Tmp_SF,c,,Cell Temperature,,Cell Status,Status of the cell
420,40730,CellV,,,uint16,,cellV SF,v,,,,Cell Voltage,Cell terminal voltage
421,40731,CellTmp,,,int16,,cellV SF | T mp_SF,v | c,,Cell Voltage,,Cell Temperature,Cell temperature
422,40732,CellSt,,,bitfield32,,T mp_SF,c,,Cell Temperature,,Cell Status,Status of the cell
424,40734,CellV,,,uint16,,cellV SF,,,,,Cell Voltage,Cell terminal voltage
425,40735,CellTmp,,,int16,,cellV SF | Tmp_SF,c,,Cell Voltage,,Cell Temperature,Cell temperature
426,40736,CellSt,,,bitfield32,,Tmp_SF,c,,Cell Temperature,,Cell Status,Status of the cell
428,40738,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
429 | 430,40739,CellSt,,,int16,,CellV SF | Tmp_SF,c,,Cell Temperature | Cell Voltage,,Cell Status,Status of the cell
430 | 431,40741,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
432,40742,CellV,,,uint16,,CellV_SF,v,,,,Cell Voltage,Cell terminal voltage
433,40743,CellTmp,,,int16,,Tmp_SF,v | c,,Cell Voltage,,Cell Temperature,Cell temperature
434 | 435,40744,CellSt,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
435 | 436,40746,CellV,,,uint16,,CellV,v,,,,Cell Voltage,Cell terminal voltage
437,40747,CellTmp,,,int16,,Tmp_SF,c,,Cell Voltage,,Cell Temperature,Cell temperature
438,40748,CellSt,,,bitfield32,,,,,Cell Temperature,,Cell Status,Status of the cell
440,40750,CellV,,,uint16,,,v,,,,Cell Voltage,Cell terminal voltage
441,40751,CellTmp,,,int16,,Tmp_SF,c,,Cell Voltage,,Cell Temperature,Cell temperature
442,40752,CellSt,,,bitfield32,,,,,Cell Temperature,,Cell Status,Status of the cell
444,40754,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
,40755,CellTmp,,,int16,,Tmp_SF,,,Cell Voltage,,Cell Temperature,Cell temperature
446,40756,CellSt,,,bitfield32,,,,,Cell Temperature,,Cell Status,Status of the cell
,40758,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
,40759,Cell Tmp,,,jnt53,,Tmp_SF,c,,jcell Temperature | Cell Voltage,,,Cell terminal voltaee39
453,40763,CellSt,,,int16,,Tmp_SF,c,,Cell Vottaze | Cell Temperature,,Cell Status,Status of the cell
,40765,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
456,40766,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
437,40767,CellTmp,,,int16,,,c,,Cell Vortaee,,Cell Temperature,Cell temperature
438,40768,CellSt,,,bitfield32,,,,,Ceil Temperature | Ceu Status,,Cell Status,Status of the cell
459 | 460 | 461,40769,CellV,,,int16,,,c,,Cell Voltage | Cell Status,,Cell Voltage,Cell terminal voltage
463 | 465 | 466 | 462 | 464,40774,CellV,,,bitfield32,,,c,,Cell Voltage | Cell Temperature | Cell Status | Cel I Ternperature,,Cell Voltage,Cell terminal voltage
